,SAMPN,hhincome,AutoxAdults,HHSIZ,Weight2,PERNO
7961,4639980,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,34.664875,16
7962,4640036,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,290.91695,4
7963,4640087,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,269.04024,2
7964,4640174,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),3,687.711,9
7965,4640175,"1 Less than $20,000",0,1,269.04024,2
7966,4640218,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,150.148425,26
7967,4640221,"3 $35,000 - $59,999",0,2,301.64429,4
7968,4640231,"5 More than $100,000",Autos = Adults (18 yrs or older),4,177.0444,19
7969,4640234,"5 More than $100,000",Autos = Adults (18 yrs or older),2,56.45568000000001,4
7970,4640241,"5 More than $100,000",Autos < Adults (18 yrs or older),5,408.07481,19
7971,4640242,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,128.11025,5
7972,4640335,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,198.65688,10
7973,4640345,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,1727.56487,4
7974,4640417,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,69.85804,5
7975,4640613,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,150.148425,14
7976,4640904,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),5,511.18197999999995,23
7977,4641055,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,148.89439,5
7978,4641145,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,128.11025,2
7979,4641315,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,99.29213,6
7980,4641407,"2 $20,000 - $34,999",0,5,1526.60261,17
7981,4641498,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,99.00639,8
7982,4641551,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,149.19651000000002,11
7983,4641625,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,290.91695,3
7984,4641628,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,88.06291999999999,3
7985,4641649,"5 More than $100,000",Autos = Adults (18 yrs or older),2,56.45568000000001,10
7986,4641678,na,Autos = Adults (18 yrs or older),1,193.65596000000002,6
7987,4641740,na,Autos = Adults (18 yrs or older),3,224.09737,11
7988,4641741,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,224.09737,23
7989,4641940,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,128.11025,6
7990,4642011,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,318.58915,10
7991,4642039,na,Autos = Adults (18 yrs or older),1,148.89439,6
7992,4642085,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),3,112.048685,24
7993,4642125,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),3,112.048685,10
7994,4642220,"5 More than $100,000",Autos = Adults (18 yrs or older),2,57.14935,4
7995,4642236,"5 More than $100,000",Autos < Adults (18 yrs or older),3,247.6577,13
7996,4642289,"5 More than $100,000",Autos = Adults (18 yrs or older),4,497.00705,11
7997,4642319,"3 $35,000 - $59,999",Autos > Adults (18 yrs or older),1,128.11025,4
7998,4642321,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),3,318.46032,11
7999,4642807,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,102.792175,9
8000,4642914,"4 $60,000 -  $99,999",Autos > Adults (18 yrs or older),1,205.58435,5
8001,4642925,"5 More than $100,000",Autos = Adults (18 yrs or older),4,497.00705,13
8002,4642968,na,Autos < Adults (18 yrs or older),3,247.6577,4
8003,4643131,"1 Less than $20,000",0,2,225.39414,2
8004,4643164,"5 More than $100,000",Autos > Adults (18 yrs or older),1,42.44291,4
8005,4643259,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),1,113.58658999999999,5
8006,4643286,"5 More than $100,000",Autos = Adults (18 yrs or older),1,42.44291,3
8007,4643349,"1 Less than $20,000",0,3,286.831685,5
8008,4643386,"5 More than $100,000",Autos = Adults (18 yrs or older),2,68.33986999999999,7
8009,4643635,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),3,343.17966,9
8010,4643749,"1 Less than $20,000",0,1,139.98264,5
